阅读,评论,标题,作者,最后更新
216,2,比亚迪永远滴神,金银腾达的玉小刚,06-16 12:57
254,2,高手都在比亚迪,李鬼空头,06-16 12:57
221,1,开工去了，明天再来看,年年积玉年年丰,06-16 12:57
794,2,比亚迪本周深股通持股市值增加2.92亿元，居汽车行业板,胖猫周周见,06-16 12:57
215,1,震荡上行，趋势已现,漫不经心玩股票,06-16 12:57
418,5,能来个涨停吗,股友07J781181T,06-16 12:57
704,4,比亚迪今天强势调整，很明显,湖南湖北,06-16 12:57
342,1,分红,基民myazym,06-16 12:57
296,1,汽车表现强势呢,月6天涯,06-16 12:57
208,2,别长那么快啊,股友222701F8D8,06-16 12:57
406,3,比亚迪，净流入17亿。波罗波罗蜜。坐轿,小明同学9号,06-16 12:57
343,1,价值低估，持续增仓,大V587,06-16 12:57
254,2,下来，我要补仓,股友szoptt,06-16 12:57
203,1,涨不停啊,阿根T,06-16 12:57
514,4,顶住自己的恐惧买入,股友h8zs1b,06-16 12:57
443,3,明天的涨停价很有意思[鼓掌],尚小诸葛,06-16 12:57
673,4,比亚迪销售放量是明牌，珍惜现在还在低位的比亚迪,飞黄万贯地丘处机,06-16 12:56
323,2,终于可以发言了,闷声发大彩,06-16 12:56
981,7,DM-i课堂：比亚迪如何做到多用电少用油高效用由 ？ 6-,牛股天下无敌,06-16 12:56
614,5,终于来了一个涨停,股友723897LE27,06-16 12:56
586,2,比亚迪高端品牌，我期待什么？,抓住科技主线,06-16 12:56
241,2,我已进入,真正的实盘操作,06-16 12:56
474,3,长期持有比亚迪[赞],伟大格局观,06-16 12:56
353,1,快乐快乐快乐快乐快乐快乐快乐,旧梦如酒1,06-16 12:56
247,2,买起来，加仓,左手小舒,06-16 12:56
985,7,比亚迪新车是否搭载有华为的最新智能系统,比亚迪股友,06-16 12:56
281,1,我的感觉就是这么准，涨就完了！明天继续！,倒戈小韭蔡,06-16 12:56
116,0,跌了就补仓，听我的没错，唯一的条件是闲钱补仓的，是,基民rfZ8J8,06-16 12:56
232,2,持股不动，反转了,霖都大道,06-16 12:56
280,2,港股都起飞了，你玩呢，擦,当幸福_来敲门,06-16 12:56
286,2,看这趋势明天还能涨,巨有财123,06-16 12:55
464,5,拿住！,生财善贾得江仰止,06-16 12:55
359,1,真龙头！,基民DOPEYh,06-16 12:55
276,1,迪迪有资格破万亿啊,万亿项目组成员,06-16 12:55
292,2,张婷，加油,阳光小子007,06-16 12:55
279,2,耐心持有，10年10倍,股友穿越牛熊,06-16 12:55
102,0,145都过来了，坚定持有,replayliu7134,06-16 12:53
462,4,和小米合作造车 比亚迪股价创近四个月新高,比亚迪资讯,06-16 12:53
2286,11,比亚迪成立新公司 经营范围含电动车销售,比亚迪资讯,06-16 12:49
174,0,$比亚迪(SZ002594)$感觉主要还是受大盘拖累，最近大盘,股友27K3z52330,06-16 12:48
1678,1,东方基金李瑞：新能源汽车行业发展驱动力已从政策切换,东方基金,06-16 12:47
550,4,卖光了[愉快][愉快][愉快],小瓜瓜小小瓜,06-16 12:47
156,0,等回调我还会回来的,长期价值高效,06-16 12:46
119,0,废话,股友7E75X93732,06-16 12:43
497,1,一览图，比较一下股息率：,五朵金花开,06-16 12:41
236,2,比亚迪同样是芯片制造,天山河畔,06-16 12:41
375,2,比亚迪股票，闭着眼睛买都挣钱,我走路带风火轮,06-16 12:41
413,4,昨天说了今天最少-5%还没人信，冤枉我这个吹哨人。,柳飘漂,06-16 12:41
267,1,员工持股减持没有提前通知，属违规减持,工行一枝花,06-16 12:40
373,2,今天上午，比亚迪市值蒸发330亿。我就问你麻不麻。,涨停板终结者者,06-16 12:40
175,0,下午刺破5日线，就看尾盘能否收回，关键,股友723897LE27,06-16 12:39
115,0,跌下来才有机会[大笑],三思投资,06-16 12:38
223,1,回到140,堆金广进地孙悟空,06-16 12:36
5316,42,比亚迪随然我没买，但我客观的评价这股已经到顶了，有,韭菜帮副帮主,06-16 12:35
483,3,下午两点半以后决定去留,逍遥水向东流,06-16 12:31
277,1,满仓！首批9家公募REITs上市时间定了   2021-06-16 08,五朵金花开,06-16 12:30
503,0,昨天231出了部分仓位，今天在221接回一部分，长期持有,股友r15276813Z,06-16 12:28
378,3,[摊手]亏死了,小吉象,06-16 12:28
798,0,指数大幅杀跌，新能源跌超4%！新能源、白酒、半导体等,咩咩tt,06-16 12:27
2494,2,未来十年值得长线投资的成长板块每个十年，都有其变革,心如莲花不着水,06-16 12:43
712,6,一个ByB开在路上都不起眼，值得这么高股价吗？这股40,富可成金的江别鹤,06-16 12:33
1081,16,王传福这几天疯狂吹牛拉高出货太明显，别想骗我接盘[,股友769ya60699,06-16 12:25
5871,80,比亚迪:关于公司员工持股计划存续期届满终止的公告,比亚迪资讯,06-16 12:25
194,0,临时股东大会有啥消息没,富可暴富地钟无艳,06-16 12:23
241,1,这波调整得到194止跌,燕尾丶蝶,06-16 12:22
183,0,有能耐跌二十个点[呲牙],股友369930hB71,06-16 12:20
3255,0,进入休息观察模式,Ai高数据,06-16 12:16
7389,209,今天突破一下215.8意义重大，把三月份这个母线的最高,万丈长缨缚鲲鹏,06-16 12:14
3734,2,昨天过于飘，今天挨一刀！长安，比亚迪两个股，昨天高,五一后再也不会亏,06-16 12:14
250,1,不要玩了，下午V回去吧！,降伏其心777,06-16 12:10
200,0,今天跌4个点，4个点，不用装,股友11x057859N,06-16 12:09
208,0,昨天刚跑了，开心。156等你们,我是不是太贪了,06-16 12:09
258,0,港股老比已经v了,鑫鑫之火慢慢,06-16 12:08
212,0,什么乱七七八糟的！振荡正常，做T降成本，坚决持有！,股友D99w913363,06-16 12:07
475,3,老子150的本，怕啥，继续锁仓,比王多鱼还多鱼,06-16 12:04
243,0,最近涨的太多了，该调整一下了。不要慌，减仓，等待时,涨停买不停,06-16 12:03
